entity_id,total_brl,media_brl,n_transacoes,min_brl,max_brl,n_cross_border,n_ip_anomaly,n_device_rooted,n_sanctions
C100000,63317.08,3517.62,18,212.46,8926.44,2,0,0,0
C100001,60632.16,3789.51,16,663.56,12890.74,6,1,1,0
C100002,97389.24,3895.57,25,314.3,10252.45,3,0,0,0
C100003,91187.37,4559.37,20,319.9,14557.24,7,0,0,0
C100004,67159.11,3950.54,17,387.6,10937.96,5,0,1,0
C100005,101614.2,5080.71,20,251.87,19456.39,3,0,3,0
C100006,97718.81,4071.62,24,454.2,15748.02,5,0,0,0
C100007,65824.11,2992.0,22,592.71,9393.63,3,0,1,0
C100008,94853.68,4124.07,23,519.96,19335.81,4,0,0,0
C100009,136683.83,8040.23,17,574.81,32727.43,5,0,1,0
C100010,66451.13,4153.2,16,715.53,13605.94,3,0,2,0
C100011,26095.01,2174.58,12,636.08,7395.91,2,0,0,0
C100012,76750.1,4514.71,17,205.52,17898.91,1,0,0,0
C100013,38577.29,2967.48,13,683.24,6411.89,2,0,0,0
C100014,85543.91,4502.31,19,646.53,13723.2,3,0,1,0
C100015,93504.19,6233.61,15,224.51,41967.88,6,0,1,0
C100016,43870.31,3655.86,12,681.76,12989.76,1,0,1,0
C100017,48395.69,3024.73,16,313.61,8944.71,3,0,1,0
C100018,68722.43,2987.93,23,434.86,8611.13,6,0,2,0
C100019,91565.36,3981.1,23,644.11,22523.5,6,0,1,0
C100020,47345.5,2491.87,19,235.16,9601.75,2,0,1,0
C100021,77692.03,3884.6,20,194.87,16131.3,7,0,0,0
C100022,51126.49,3408.43,15,675.49,8812.49,4,0,0,0
C100023,79147.34,4946.71,16,496.03,11568.88,0,0,0,0
C100024,95248.8,4535.66,21,246.72,25266.39,4,0,0,0
C100025,68508.56,5709.05,12,353.7,41813.52,1,0,0,0
C100026,122727.19,8766.23,14,573.82,35194.25,5,0,0,0
C100027,81617.97,4080.9,20,494.15,13452.2,1,0,0,0
C100028,129137.22,5614.66,23,767.42,26266.2,8,0,0,0
C100029,70614.2,4707.61,15,586.61,13098.33,3,0,0,0
C100030,79900.94,5326.73,15,417.87,45442.61,2,0,0,0
C100031,50737.81,2984.58,17,590.13,13249.39,4,0,0,0
C100032,81086.05,4267.69,19,335.1,18684.62,3,0,0,0
C100033,54135.52,3609.03,15,487.31,10799.47,3,0,0,0
C100034,122533.98,5327.56,23,803.43,22916.64,3,0,2,0
C100035,54745.38,3649.69,15,204.88,11921.4,2,0,0,0
C100036,77949.76,3711.89,21,517.95,18740.86,3,0,0,0
C100037,91135.57,3962.42,23,526.65,16071.06,8,0,0,0
C100038,43816.87,2434.27,18,396.7,7030.11,4,0,0,0
C100039,74909.46,4993.96,15,581.18,39045.79,4,0,1,0
C100040,115148.36,10468.03,11,1271.23,76914.46,4,0,2,0
C100041,25107.0,2789.67,9,204.45,6848.95,1,0,1,0
C100042,62406.47,2971.74,21,260.69,12142.38,6,1,1,0
C100043,98206.26,4676.49,21,616.55,31695.94,4,0,0,0
C100044,110348.4,4086.98,27,208.05,23916.16,4,1,0,0
C100045,62118.48,3451.03,18,381.62,7366.55,1,0,0,0
C100046,96888.94,4037.04,24,213.59,22415.1,5,0,0,0
C100047,87609.87,4171.9,21,694.29,17699.81,3,0,0,0
C100048,38825.51,2043.45,19,263.71,5634.26,5,1,0,0
C100049,68071.13,4538.08,15,331.73,22423.42,2,0,0,0
C100050,88666.32,4222.21,21,589.0,12992.76,6,0,1,0
C100051,48392.26,3226.15,15,828.21,8205.77,5,0,0,0
C100052,49673.23,2614.38,19,144.73,8914.81,4,0,1,0
C100053,121129.48,6729.42,18,550.46,44547.94,0,0,1,0
C100054,192600.43,8373.93,23,426.03,106455.07,4,0,0,0
C100055,32175.59,2681.3,12,635.51,6039.38,1,0,0,0
C100056,68549.38,4032.32,17,706.93,25425.48,6,0,0,0
C100057,109881.4,4226.21,26,221.43,15429.04,9,0,0,0
C100058,95771.99,5040.63,19,832.79,16857.04,3,0,0,0
C100059,67001.52,3941.27,17,187.32,15558.59,2,0,0,0
C100060,105583.75,5279.19,20,721.6,17012.96,2,0,1,0
C100061,81361.59,4282.19,19,535.44,12493.35,6,0,0,0
C100062,122375.2,5562.51,22,696.46,20872.42,4,0,0,0
C100063,74334.48,4955.63,15,1140.24,16624.65,4,0,0,0
C100064,90364.56,4107.48,22,798.33,17056.74,2,0,0,0
C100065,96814.26,5378.57,18,268.21,17849.72,1,0,0,0
C100066,81825.56,4091.28,20,400.78,20588.28,4,0,0,0
C100067,81585.24,3547.18,23,492.68,13046.72,8,0,0,0
C100068,69661.75,4353.86,16,184.44,23355.23,1,0,0,0
C100069,92495.84,3853.99,24,467.18,21892.99,7,0,1,0
C100070,56502.37,3323.67,17,757.69,7602.45,4,0,0,0
C100071,86084.95,4530.79,19,185.11,28609.14,3,0,0,0
C100072,73127.01,3482.24,21,428.27,8539.27,5,0,0,0
C100073,54476.18,3631.75,15,312.62,13689.15,2,0,1,0
C100074,88713.05,4669.11,19,269.21,25074.88,3,0,0,0
C100075,28125.91,2556.9,11,1072.83,4449.47,0,0,0,0
C100076,164694.34,8234.72,20,1036.47,33467.61,3,0,1,0
C100077,78588.53,3572.21,22,768.17,21112.82,10,0,0,0
C100078,65573.84,4371.59,15,470.99,20153.05,5,0,0,0
C100079,53985.3,3599.02,15,568.25,9663.61,3,0,0,0
C100080,99297.09,4728.43,21,505.97,25636.84,4,0,0,0
C100081,50449.76,5044.98,10,210.24,17064.37,0,0,0,0
C100082,85840.93,4768.94,18,591.17,15627.15,6,0,1,0
C100083,109661.46,6450.67,17,693.75,41890.05,3,0,1,0
C100084,56122.97,3507.69,16,739.42,15011.04,1,0,0,0
C100085,52705.41,3100.32,17,501.81,9021.66,2,0,0,0
C100086,98295.86,5782.11,17,400.72,31289.78,5,0,2,0
C100087,87905.11,5494.07,16,557.38,38617.83,3,0,1,0
C100088,132316.35,7783.31,17,610.98,51069.44,3,0,0,0
C100089,61345.81,4089.72,15,563.26,11936.06,1,1,0,0
C100090,75486.67,3594.6,21,532.1,8618.18,4,0,1,0
C100091,91349.77,5074.99,18,209.58,18507.97,3,0,0,1
C100092,53948.67,3173.45,17,421.31,15526.36,4,0,0,0
C100093,68118.81,3784.38,18,1094.99,12922.78,2,0,0,0
C100094,106521.14,7101.41,15,510.1,38493.54,5,0,0,0
C100095,67912.34,3395.62,20,711.82,15130.14,3,0,0,0
C100096,67131.77,3729.54,18,538.49,18262.49,4,0,2,0
C100097,94796.72,4308.94,22,284.29,28133.34,4,0,0,0
C100098,101942.84,4432.3,23,316.15,18676.74,2,0,0,0
C100099,75741.09,3787.05,20,375.94,11134.76,4,0,2,0
C100100,94213.87,4710.69,20,654.0,22417.59,4,0,0,0
C100101,85225.2,4734.73,18,393.18,17404.14,4,0,0,0
C100102,97835.47,4658.83,21,478.97,15894.77,4,0,0,0
C100103,107073.46,5353.67,20,462.69,27929.67,1,0,2,0
