sender_id,tx_count,counterparties,avg_amount,tx_window_days,tx_per_day
C100000,18,18,3517.62,83,0.217
C100001,16,16,3789.51,83,0.193
C100002,25,25,3895.57,93,0.269
C100003,20,20,4559.37,87,0.23
C100004,17,17,3950.54,93,0.183
C100005,20,20,5080.71,84,0.238
C100006,24,24,4071.62,84,0.286
C100007,22,22,2992.0,88,0.25
C100008,23,23,4124.07,85,0.271
C100009,17,17,8040.23,70,0.243
C100010,16,16,4153.2,80,0.2
C100011,12,12,2174.58,88,0.136
C100012,17,17,4514.71,88,0.193
C100013,13,13,2967.48,85,0.153
C100014,19,19,4502.31,95,0.2
C100015,15,15,6233.61,92,0.163
C100016,12,12,3655.86,87,0.138
C100017,16,16,3024.73,93,0.172
C100018,23,23,2987.93,92,0.25
C100019,23,23,3981.1,88,0.261
C100020,19,19,2491.87,90,0.211
C100021,20,20,3884.6,90,0.222
C100022,15,15,3408.43,80,0.188
C100023,16,15,4946.71,89,0.18
C100024,21,21,4535.66,91,0.231
C100025,12,12,5709.05,85,0.141
C100026,14,14,8766.23,84,0.167
C100027,20,20,4080.9,70,0.286
C100028,23,23,5614.66,91,0.253
C100029,15,15,4707.61,73,0.205
C100030,15,15,5326.73,79,0.19
C100031,17,17,2984.58,74,0.23
C100032,19,19,4267.69,84,0.226
C100033,15,15,3609.03,64,0.234
C100034,23,23,5327.56,88,0.261
C100035,15,15,3649.69,84,0.179
C100036,21,21,3711.89,93,0.226
C100037,23,23,3962.42,85,0.271
C100038,18,18,2434.27,84,0.214
C100039,15,15,4993.96,79,0.19
C100040,11,11,10468.03,89,0.124
C100041,9,9,2789.67,92,0.098
C100042,21,21,2971.74,78,0.269
C100043,21,21,4676.49,95,0.221
C100044,27,26,4086.98,93,0.29
C100045,18,18,3451.03,94,0.191
C100046,24,24,4037.04,92,0.261
C100047,21,21,4171.9,91,0.231
C100048,19,19,2043.45,79,0.241
C100049,15,15,4538.08,88,0.17
C100050,21,21,4222.21,87,0.241
C100051,15,15,3226.15,82,0.183
C100052,19,19,2614.38,79,0.241
C100053,18,18,6729.42,85,0.212
C100054,23,23,8373.93,87,0.264
C100055,12,12,2681.3,88,0.136
C100056,17,17,4032.32,84,0.202
C100057,26,26,4226.21,90,0.289
C100058,19,19,5040.63,73,0.26
C100059,17,16,3941.27,89,0.191
C100060,20,20,5279.19,88,0.227
C100061,19,18,4282.19,73,0.26
C100062,22,22,5562.51,80,0.275
C100063,15,15,4955.63,95,0.158
C100064,22,22,4107.48,93,0.237
C100065,18,18,5378.57,85,0.212
C100066,20,20,4091.28,88,0.227
C100067,23,23,3547.18,91,0.253
C100068,16,16,4353.86,85,0.188
C100069,24,24,3853.99,90,0.267
C100070,17,17,3323.67,85,0.2
C100071,19,19,4530.79,86,0.221
C100072,21,21,3482.24,91,0.231
C100073,15,15,3631.75,86,0.174
C100074,19,19,4669.11,90,0.211
C100075,11,11,2556.9,78,0.141
C100076,20,20,8234.72,86,0.233
C100077,22,22,3572.21,88,0.25
C100078,15,15,4371.59,88,0.17
C100079,15,15,3599.02,83,0.181
C100080,21,21,4728.43,92,0.228
C100081,10,10,5044.98,94,0.106
C100082,18,18,4768.94,79,0.228
C100083,17,17,6450.67,83,0.205
C100084,16,16,3507.69,92,0.174
C100085,17,16,3100.32,88,0.193
C100086,17,16,5782.11,82,0.207
C100087,16,16,5494.07,75,0.213
C100088,17,16,7783.31,82,0.207
C100089,15,15,4089.72,83,0.181
C100090,21,20,3594.6,94,0.223
C100091,18,18,5074.99,86,0.209
C100092,17,17,3173.45,79,0.215
C100093,18,17,3784.38,77,0.234
C100094,15,15,7101.41,88,0.17
C100095,20,20,3395.62,92,0.217
C100096,18,18,3729.54,86,0.209
C100097,22,22,4308.94,89,0.247
C100098,23,23,4432.3,89,0.258
C100099,20,20,3787.05,85,0.235
C100100,20,20,4710.69,90,0.222
C100101,18,18,4734.73,90,0.2
C100102,21,21,4658.83,81,0.259
C100103,20,20,5353.67,79,0.253
C100104,15,15,5277.77,91,0.165
C100105,18,18,4854.76,78,0.231
C100106,16,16,4301.98,90,0.178
C100107,13,13,3551.12,88,0.148
C100108,19,19,3956.38,85,0.224
C100109,13,13,2877.13,64,0.203
C100110,23,23,4095.85,92,0.25
C100111,21,21,4209.8,76,0.276
C100112,18,18,4659.93,93,0.194
C100113,21,21,3047.99,90,0.233
C100114,17,17,3534.62,84,0.202
C100115,21,20,5945.11,88,0.239
C100116,18,18,3064.93,83,0.217
C100117,24,24,8190.09,87,0.276
C100118,28,28,3973.22,89,0.315
C100119,19,19,4525.24,92,0.207
C100120,14,14,3401.12,85,0.165
C100121,17,17,4838.79,62,0.274
C100122,16,16,5086.14,71,0.225
C100123,16,16,3198.18,82,0.195
C100124,14,14,2461.17,80,0.175
C100125,14,14,5765.1,88,0.159
C100126,18,18,4163.44,90,0.2
C100127,15,15,6307.37,85,0.176
C100128,20,20,2999.24,93,0.215
C100129,20,20,4045.49,93,0.215
C100130,20,20,5160.63,86,0.233
C100131,11,11,6484.46,63,0.175
C100132,24,24,4414.22,90,0.267
C100133,11,11,5655.06,86,0.128
C100134,22,21,6916.29,89,0.247
C100135,16,15,3662.5,88,0.182
C100136,19,19,5782.18,84,0.226
C100137,16,16,2877.12,76,0.211
C100138,28,28,5148.78,90,0.311
C100139,14,14,3737.44,89,0.157
C100140,14,14,3098.19,87,0.161
C100141,19,19,4145.53,90,0.211
C100142,13,13,10111.23,82,0.159
C100143,10,10,7261.41,69,0.145
C100144,17,17,3673.62,89,0.191
C100145,17,17,2828.77,86,0.198
C100146,19,19,4092.92,85,0.224
