customer_id,is_core_label,xgb_score,if_score,final_score,split,rules_score,n_rules,risk_tier_ml
C101208,1,0.7848497,0.8263277345673617,0.7972931067280882,train,22,7,alto
C101082,0,0.70759445,0.978788183178784,0.7889525729555731,train,14,6,alto
C100837,0,0.68448716,0.9999999958765047,0.7791409956959348,train,13,5,alto
C102093,1,0.7378673,0.8208403915584835,0.7627592066055761,train,21,8,alto
C100853,0,0.7818388,0.7055853296992178,0.7589627054237424,train,13,5,alto
C101047,0,0.7612738,0.7204388152749878,0.7490232757089001,train,10,4,alto
C101532,0,0.7743031,0.6776192514015488,0.7452979304764644,train,12,5,alto
C101278,0,0.78121245,0.6368442139568175,0.7379019785386993,train,15,6,alto
C100404,1,0.7848497,0.6272483006690718,0.7375692765586012,train,16,6,alto
C101755,0,0.78107136,0.6333809474448922,0.7367642336887289,train,17,7,alto
C101588,0,0.7818388,0.630042897631152,0.7362999758033226,train,13,5,alto
C100831,0,0.7506041,0.6918026865654178,0.7329636770824488,test,18,7,alto
C100940,1,0.7558617,0.6759850426257906,0.7318986726922172,train,15,6,alto
C101897,1,0.78316236,0.594433616196221,0.7265437455758768,train,15,6,alto
C102179,0,0.7209758,0.7340954656645663,0.7249117170347276,train,13,5,alto
C101772,1,0.7848497,0.5812110323582362,0.7237580960653505,train,14,5,alto
C100208,1,0.7671522,0.622052561694768,0.7236222658915481,train,17,7,alto
C101435,1,0.78121245,0.5752842204445674,0.7194339804850243,train,16,6,alto
C100251,0,0.76382536,0.6142812199430068,0.7189621098946452,train,15,6,alto
C101277,0,0.7586845,0.613289114696152,0.7150659074969193,train,15,6,alto
C102218,0,0.7818388,0.5582374864145372,0.7147583524383382,train,8,3,alto
C101443,0,0.77738833,0.5647561352515295,0.7135986507256054,train,13,5,alto
C102281,1,0.78121245,0.5551703767569254,0.7133998273787316,train,13,5,alto
C102044,0,0.7704385,0.5748161602192726,0.7117517867140056,train,13,5,alto
C102032,1,0.78121245,0.5406089377599633,0.709031395679643,train,14,5,alto
C101299,1,0.78121245,0.5395252124632263,0.7087062780906219,train,20,8,alto
C101758,0,0.744896,0.6160326471178412,0.7062370082810128,train,12,5,alto
C100366,1,0.78121245,0.528256201253903,0.705325574727825,train,13,5,alto
C101141,0,0.77738833,0.5320847848627872,0.7037972456089826,train,12,5,alto
C102393,1,0.7583713,0.5756441307365894,0.7035531268209219,train,13,5,alto
C101770,0,0.7743031,0.5333863919475332,0.7020280726402597,train,8,3,alto
C102151,0,0.7848497,0.5043095320837796,0.7006876459830135,train,12,5,alto
C101167,1,0.78107136,0.5058372828304283,0.6985011343043896,train,15,6,alto
