entity_id,entity_type,rule_id,severity,evidence_ids,rule_desc
C100040,client,R02_burst_value,2,TNVCSNADRX431,"Burst valor: R$76,914 em 60min"
C100054,client,R02_burst_value,2,TSFBYSDK4OHYP,"Burst valor: R$106,455 em 60min"
C100088,client,R02_burst_value,2,T0VT9UG46ZFM1,"Burst valor: R$51,069 em 60min"
C100117,client,R02_burst_value,2,T35U775Y32FFT,"Burst valor: R$116,387 em 60min"
C100168,client,R02_burst_value,2,TZBK9OMGN5F55,"Burst valor: R$71,764 em 60min"
C100181,client,R02_burst_value,2,TCAZVJJ8D5340,"Burst valor: R$63,680 em 60min"
C100208,client,R02_burst_value,2,T7ILZTP10SBFN,"Burst valor: R$51,589 em 60min"
C100327,client,R02_burst_value,2,TFRV02TQBTSAE,"Burst valor: R$69,954 em 60min"
C100335,client,R02_burst_value,2,TR1ZVL8URDJB7,"Burst valor: R$60,811 em 60min"
C100337,client,R02_burst_value,2,TUNR9QE54R4GQ,"Burst valor: R$56,618 em 60min"
C100432,client,R02_burst_value,2,TIQ8Q889HJSR5,"Burst valor: R$65,926 em 60min"
C100434,client,R02_burst_value,2,TEIKEVPFCKR79,"Burst valor: R$56,352 em 60min"
C100462,client,R02_burst_value,2,T599PH2GUH19N,"Burst valor: R$56,537 em 60min"
C100483,client,R02_burst_value,2,TEWZLEQT8I480,"Burst valor: R$69,144 em 60min"
C100489,client,R02_burst_value,2,TEPKU77IOTKB9,"Burst valor: R$51,985 em 60min"
C100514,client,R02_burst_value,2,TLC97FUZA6TRO,"Burst valor: R$52,742 em 60min"
C100517,client,R02_burst_value,2,TKNPEUI74LZ86,"Burst valor: R$62,828 em 60min"
C100546,client,R02_burst_value,2,TFRQ14ZC3K4AB,"Burst valor: R$51,500 em 60min"
C100567,client,R02_burst_value,2,TC4PAOTZFH9HC,"Burst valor: R$50,475 em 60min"
C100575,client,R02_burst_value,2,TNPS88I9GVH10,"Burst valor: R$125,782 em 60min"
C100584,client,R02_burst_value,2,TGOI00GW5ZRP9,"Burst valor: R$58,793 em 60min"
C100658,client,R02_burst_value,2,TLC30M6FBZZED,"Burst valor: R$57,532 em 60min"
C100758,client,R02_burst_value,2,T2MIDQI4TSX3F,"Burst valor: R$56,300 em 60min"
C100761,client,R02_burst_value,2,T3R40VWJJYQRF,"Burst valor: R$51,941 em 60min"
C100782,client,R02_burst_value,2,TFGAUPMFGKPR6,"Burst valor: R$66,234 em 60min"
C100830,client,R02_burst_value,2,T5IYWXDOKJ014,"Burst valor: R$51,305 em 60min"
C100861,client,R02_burst_value,2,TIS0BTVMINN2X,"Burst valor: R$50,837 em 60min"
C100871,client,R02_burst_value,2,T48RG9XSF3X7O,"Burst valor: R$60,253 em 60min"
C100882,client,R02_burst_value,2,TNMFSD7DKPYY9,"Burst valor: R$52,277 em 60min"
C100885,client,R02_burst_value,2,TBTDZAOAW7U06,"Burst valor: R$53,423 em 60min"
C100906,client,R02_burst_value,2,T25OHEVMOKIXN,"Burst valor: R$50,559 em 60min"
C100924,client,R02_burst_value,2,TGXDTYXMW3LZ0,"Burst valor: R$62,319 em 60min"
C100939,client,R02_burst_value,2,TF05YAPKTP4TU,"Burst valor: R$130,114 em 60min"
C100949,client,R02_burst_value,2,TWKH7LCJS7IP1,"Burst valor: R$53,873 em 60min"
C100997,client,R02_burst_value,2,T8VKXIKFDRQ5X,"Burst valor: R$57,268 em 60min"
C101001,client,R02_burst_value,2,TLPH2SK96E7QU,"Burst valor: R$53,247 em 60min"
C101038,client,R02_burst_value,2,TJGWDRMAVXQ5N,"Burst valor: R$70,836 em 60min"
C101060,client,R02_burst_value,2,T3VXWSCSJCCM8,"Burst valor: R$63,125 em 60min"
C101066,client,R02_burst_value,2,T4TJEXMB647KQ,"Burst valor: R$55,171 em 60min"
C101090,client,R02_burst_value,2,TLQ7HFYIUOB4C,"Burst valor: R$52,258 em 60min"
C101110,client,R02_burst_value,2,THRG3HKVMC0WD,"Burst valor: R$57,294 em 60min"
C101120,client,R02_burst_value,2,TJZO9Q79G3IGV,"Burst valor: R$103,439 em 60min"
C101212,client,R02_burst_value,2,TPZLP8DKRRC4T,"Burst valor: R$53,134 em 60min"
C101223,client,R02_burst_value,2,THWRC3W03W049,"Burst valor: R$50,040 em 60min"
C101230,client,R02_burst_value,2,TUJY3905T289T,"Burst valor: R$52,526 em 60min"
C101266,client,R02_burst_value,2,T61Q03HPW25OO,"Burst valor: R$59,822 em 60min"
C101276,client,R02_burst_value,2,THNZCXDE1DD94,"Burst valor: R$70,534 em 60min"
C101278,client,R02_burst_value,2,T3EBSU8PSXMOC,"Burst valor: R$50,961 em 60min"
C101288,client,R02_burst_value,2,TKBZEANEZ15GK,"Burst valor: R$59,334 em 60min"
C101291,client,R02_burst_value,2,TLEQGVF44FIWS,"Burst valor: R$59,442 em 60min"
C101338,client,R02_burst_value,2,T7RHIPQH8ZP9U,"Burst valor: R$60,354 em 60min"
C101595,client,R02_burst_value,2,T9YMP6XC97HM0,"Burst valor: R$82,629 em 60min"
C101631,client,R02_burst_value,2,TEI875SULB85O,"Burst valor: R$72,514 em 60min"
C101695,client,R02_burst_value,2,TMZK23QSRHEHA,"Burst valor: R$61,030 em 60min"
C101803,client,R02_burst_value,2,TRTZ2UT7M8EU5,"Burst valor: R$65,642 em 60min"
C101810,client,R02_burst_value,2,T5YARLHS6AIZO,"Burst valor: R$51,101 em 60min"
C101821,client,R02_burst_value,2,TDH5EMJKC48TR,"Burst valor: R$63,428 em 60min"
C101836,client,R02_burst_value,2,T2E8DFGA1XP98,"Burst valor: R$56,477 em 60min"
C101853,client,R02_burst_value,2,TC5IVMKBWJV72,"Burst valor: R$102,037 em 60min"
C101867,client,R02_burst_value,2,TWKH77H5AVKAO,"Burst valor: R$59,939 em 60min"
C101919,client,R02_burst_value,2,TQ0P3D1P7N9BK,"Burst valor: R$55,412 em 60min"
C101935,client,R02_burst_value,2,TEP2CBIO23ODG,"Burst valor: R$60,123 em 60min"
C101939,client,R02_burst_value,2,TJDPQ6KC3I8QW;T9BW0FU9UUKMI,"Burst valor: R$63,205 em 60min"
C101970,client,R02_burst_value,2,TMEUNNZ7CGYTQ,"Burst valor: R$50,338 em 60min"
C101990,client,R02_burst_value,2,TQ3Y3886OJIII,"Burst valor: R$56,096 em 60min"
C102053,client,R02_burst_value,2,TOE53FRPO2BUN,"Burst valor: R$52,215 em 60min"
C102057,client,R02_burst_value,2,T89R3Q2RPN56J,"Burst valor: R$76,466 em 60min"
C102058,client,R02_burst_value,2,TL3B1OW49WZY8,"Burst valor: R$67,834 em 60min"
C102071,client,R02_burst_value,2,TFHBTR9BTJC78,"Burst valor: R$79,148 em 60min"
C102072,client,R02_burst_value,2,TI6JT2KSMRNGV,"Burst valor: R$60,805 em 60min"
C102115,client,R02_burst_value,2,TTG5L421DBPWA,"Burst valor: R$51,815 em 60min"
C102130,client,R02_burst_value,2,TD9QDKUN21DRE,"Burst valor: R$140,910 em 60min"
C102182,client,R02_burst_value,2,TGWTK4D3LLWXB,"Burst valor: R$50,865 em 60min"
C102234,client,R02_burst_value,2,T3YUXKQHFSOQ0,"Burst valor: R$64,655 em 60min"
C102247,client,R02_burst_value,2,TKY5BM57QFEWV,"Burst valor: R$73,629 em 60min"
C102264,client,R02_burst_value,2,TVZPYJCC2UQH1,"Burst valor: R$51,495 em 60min"
C102273,client,R02_burst_value,2,T7ZJQU2IS5K18,"Burst valor: R$57,164 em 60min"
C102295,client,R02_burst_value,2,T1ZZ2NGY96BRB,"Burst valor: R$51,811 em 60min"
C102298,client,R02_burst_value,2,TEMFFEC827CVN,"Burst valor: R$50,971 em 60min"
C102312,client,R02_burst_value,2,TB2LP68G0UG0B,"Burst valor: R$55,628 em 60min"
C102371,client,R02_burst_value,2,TLB59Q2DAFOSM,"Burst valor: R$59,816 em 60min"
C102417,client,R02_burst_value,2,TZPE7XGUP1A4L,"Burst valor: R$55,044 em 60min"
C102418,client,R02_burst_value,2,T3NZLIIY1BORC,"Burst valor: R$61,805 em 60min"
C102423,client,R02_burst_value,2,TF21RX1495A6F,"Burst valor: R$64,168 em 60min"
C102438,client,R02_burst_value,2,TZG7DWBS1PB5D,"Burst valor: R$50,645 em 60min"
C102478,client,R02_burst_value,2,TMADF38QKY1W4,"Burst valor: R$84,324 em 60min"
M200154,client,R02_burst_value,2,T642WMQ2BOA6R,"Burst valor: R$60,129 em 60min"
M200497,client,R02_burst_value,2,TPOLOB3Y8XZBP,"Burst valor: R$56,508 em 60min"
M200588,client,R02_burst_value,2,TQH94NA422WUG,"Burst valor: R$56,914 em 60min"
M200882,client,R02_burst_value,2,THJCWFBQYL470,"Burst valor: R$66,617 em 60min"
C101561,client,R03_structuring,3,TH4RQ4N7DS4PL;TI3DBJBJXW5R5;TJM5YVWYYBIJ4,Structuring PIX: 3 tx em [R$9k-10k] em 7d
C101704,client,R03_structuring,3,TW14G9LJNNVW3;TB172DZ6561OL;T08ND0D89UPHH,Structuring PIX: 3 tx em [R$9k-10k] em 7d
C102144,client,R03_structuring,3,TSEWD642S7NPS;TPYVKSG8RSAH2;TUBLQKHOHXFKF,Structuring PIX: 3 tx em [R$9k-10k] em 7d
C102351,client,R03_structuring,3,T2QQLPYD87MIW;TK5HZ8IPQWUZ0;TKUWCRBHGYMUO,Structuring PIX: 3 tx em [R$9k-10k] em 7d
C100384,client,R04_income_mismatch,2,TUILBKR4582YE,"Renda incompatível: R$32,105 = 34.4× renda mensal"
C101567,client,R04_income_mismatch,2,TS1VCDVEQT5U8,"Renda incompatível: R$38,875 = 28.5× renda mensal"
C100410,client,R04_income_mismatch,2,T7NIZE3HXAD17,"Renda incompatível: R$9,360 = 16.6× renda mensal"
C100653,client,R04_income_mismatch,2,TSINHGDRZPRWH,"Renda incompatível: R$19,487 = 21.6× renda mensal"
C102066,client,R04_income_mismatch,2,TI5O0UV2MX9HI,"Renda incompatível: R$17,570 = 15.3× renda mensal"
C100614,client,R04_income_mismatch,2,TXGJ8KE92NPJX,"Renda incompatível: R$42,182 = 36.7× renda mensal"
C100510,client,R04_income_mismatch,2,TGX1DLRUCAW7Z,"Renda incompatível: R$8,792 = 15.4× renda mensal"
C100359,client,R04_income_mismatch,2,TVL7VQT61GQ6P,"Renda incompatível: R$9,743 = 22.6× renda mensal"
C101063,client,R04_income_mismatch,2,TDTQC463G6JVI,"Renda incompatível: R$21,404 = 36.4× renda mensal"
C102282,client,R04_income_mismatch,2,TEOY2LEYB3TPJ,"Renda incompatível: R$10,530 = 15.1× renda mensal"
C100094,client,R04_income_mismatch,2,TABOWSFUTR9FB,"Renda incompatível: R$23,870 = 20.6× renda mensal"
C101426,client,R04_income_mismatch,2,TN285NMVDHVJ9,"Renda incompatível: R$10,066 = 55.0× renda mensal"
C101339,client,R04_income_mismatch,2,TQXF3QDH8C6RT,"Renda incompatível: R$19,813 = 27.1× renda mensal"
C101637,client,R04_income_mismatch,2,T7ILETTUAAK4Q,"Renda incompatível: R$23,803 = 21.9× renda mensal"
C100421,client,R04_income_mismatch,2,TYL0LQMTT4VQ8,"Renda incompatível: R$33,556 = 82.1× renda mensal"
C102023,client,R04_income_mismatch,2,THL34B4W4PJXV,"Renda incompatível: R$14,109 = 15.2× renda mensal"
