entity_id,entity_type,score,n_rules,rules,is_core_label,tier
C101919,client,22,9,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R16_pep,R17_high_risk_mcc",0,alto
C101208,client,22,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C102093,client,21,8,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R12_ecom_no_3ds,R15_sanctions,R16_pep,R17_high_risk_mcc",1,alto
C100184,client,21,9,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc,R20_new_account",0,alto
C101775,client,20,8,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R16_pep,R17_high_risk_mcc",0,alto
C101028,client,20,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100658,client,20,8,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100517,client,20,8,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C101299,client,20,8,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",1,alto
C101895,client,19,8,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",1,alto
C100237,client,19,8,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C101991,client,19,8,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,alto
C101212,client,18,8,"R02_burst_value,R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,alto
C100967,client,18,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R14_cross_border_high,R15_sanctions,R16_pep,R17_high_risk_mcc",0,alto
C100831,client,18,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R16_pep,R17_high_risk_mcc",0,alto
C101583,client,18,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
C100735,client,17,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C101755,client,17,7,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",0,alto
C102388,client,17,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C100388,client,17,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C101065,client,17,7,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",1,alto
C100208,client,17,7,"R02_burst_value,R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",1,alto
C100594,client,17,7,"R04_income_mismatch,R05_geojump,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",1,alto
C101034,client,17,7,"R05_geojump,R06_ip_anomaly,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C100850,client,17,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,alto
C101343,client,17,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,alto
C100044,client,17,7,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R12_ecom_no_3ds,R14_cross_border_high,R17_high_risk_mcc",0,alto
C102018,client,17,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R14_cross_border_high,R17_high_risk_mcc",0,alto
C100177,client,17,7,"R04_income_mismatch,R05_geojump,R10_cash_in_out,R13_eci_cross_border,R14_cross_border_high,R15_sanctions,R17_high_risk_mcc",0,alto
C102312,client,17,7,"R02_burst_value,R04_income_mismatch,R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C100740,client,17,7,"R04_income_mismatch,R05_geojump,R06_ip_anomaly,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R17_high_risk_mcc",0,alto
C100519,client,16,6,"R05_geojump,R10_cash_in_out,R12_ecom_no_3ds,R13_eci_cross_border,R15_sanctions,R17_high_risk_mcc",1,alto
